ticket_id,customer_segment,product_area,priority,channel,agent_tenure_months,first_response_min,resolution_min,reopen_count,csat_1_5,refund_requested,escalation,bug_confirmed,sentiment_score,sla_breached
200000,Enterprise,mobile,medium,email,11.0,169.2,1859.7,0,3,0,0,0,-0.194,1
200001,Consumer,api,low,phone,2.9,5.6,701.5,0,5,0,0,0,0.479,0
200002,Consumer,integrations,medium,email,5.3,37.0,724.5,0,4,0,0,1,0.039,1
200003,SMB,billing,low,phone,10.3,22.4,539.5,0,5,0,0,0,-0.146,0
200004,Enterprise,integrations,low,chat,16.2,47.0,1142.8,2,3,0,0,1,-0.476,0
200005,Consumer,integrations,low,email,18.7,50.7,224.3,0,4,0,0,0,-0.079,0
200006,SMB,billing,urgent,email,22.6,30.1,1540.5,0,4,0,1,0,0.218,1
200007,SMB,billing,high,chat,56.5,10.2,551.3,0,3,1,0,1,0.086,1
200008,Consumer,integrations,high,phone,50.2,7.5,763.7,0,4,0,0,0,-0.124,1
200009,SMB,login,high,email,17.8,92.7,172.9,0,4,0,0,0,0.402,0
200010,Enterprise,integrations,high,email,44.2,25.6,867.4,0,4,0,0,0,0.122,1
200011,Consumer,integrations,low,email,30.2,74.0,718.1,0,5,0,0,0,0.117,0
200012,SMB,integrations,low,phone,20.0,13.5,372.6,0,5,0,0,1,0.623,0
200013,Consumer,mobile,medium,phone,10.7,4.2,284.0,0,4,0,0,0,0.685,0
200014,SMB,api,high,email,2.0,70.2,2040.9,2,3,0,0,1,-0.97,1
200015,SMB,api,low,chat,29.2,21.0,1643.5,0,4,1,0,1,-0.395,1
200016,Consumer,integrations,medium,email,11.1,73.1,1356.9,0,5,0,0,1,0.054,1
200017,Consumer,api,medium,email,6.5,67.8,1633.5,0,4,0,0,0,-0.1,1
200018,Consumer,billing,low,email,13.0,26.9,566.3,0,4,0,0,1,0.242,0
200019,Consumer,integrations,low,email,23.0,264.4,624.5,0,5,0,0,0,0.241,0
200020,Consumer,login,medium,email,38.8,22.3,306.1,0,5,0,0,1,0.348,0
200021,SMB,performance,low,chat,20.7,28.5,661.9,0,5,0,0,0,0.351,0
200022,Consumer,billing,urgent,chat,25.9,4.8,495.4,1,3,0,0,0,-0.253,1
200023,Consumer,api,medium,chat,10.1,16.8,473.5,0,4,0,0,0,0.765,0
200024,SMB,mobile,medium,email,33.6,18.6,415.6,0,4,0,0,0,0.598,0
200025,Consumer,login,low,email,9.5,43.3,332.4,0,5,0,0,1,0.732,0
200026,Consumer,login,low,email,34.3,58.0,95.5,0,4,0,0,0,0.562,0
200027,SMB,mobile,low,phone,26.6,3.2,1023.6,0,5,0,0,0,0.564,0
200028,Consumer,mobile,medium,email,19.2,47.0,855.1,0,5,0,0,0,0.268,1
